timestampSec,isShooting,playerPosX,playerPosY,playerPosZ,aimYawSpeed,aimPitchSpeed,moveSpeed,deltaYaw,deltaPitch,health,weaponId,isOnGround,distanceToNearestEnemy
196.61,0,178.69,140.31,4.50,7.36,0.91,0.75,7.36,-0.91,100,3,1,14.34
196.81,0,181.60,139.22,4.50,37.09,14.36,3.11,37.09,-14.36,100,3,1,16.06
197.01,0,182.58,136.43,4.50,0.00,0.00,2.96,0.00,0.00,100,3,1,21.33
197.21,0,182.87,133.28,4.50,2.73,0.27,3.17,2.73,-0.27,100,3,1,23.93
197.41,0,182.73,130.10,4.17,19.36,1.09,3.19,19.36,-1.09,100,3,0,21.69
197.61,0,181.71,127.18,1.39,2.18,0.73,4.16,2.18,0.73,100,3,1,19.85
197.82,0,179.45,126.50,1.03,25.91,1.27,2.39,25.91,1.27,100,3,0,20.86
198.02,0,177.10,125.90,0.19,68.00,7.55,2.56,68.00,7.55,100,3,1,21.92
198.22,0,176.10,125.10,-0.12,1.00,0.09,1.32,1.00,0.09,100,3,1,22.72
198.42,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.12
198.62,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,23.72
198.82,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.90
199.02,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,26.73
199.22,0,176.10,125.10,-0.12,1.55,11.18,0.00,1.55,11.18,100,3,1,27.90
199.43,0,176.10,125.10,-0.12,0.00,0.09,0.00,0.00,-0.09,100,3,1,27.22
199.63,0,176.10,125.10,-0.12,0.09,0.09,0.00,0.09,-0.09,100,3,1,25.70
199.83,0,176.10,125.10,-0.12,0.18,1.55,0.00,0.18,-1.55,100,3,1,25.59
200.03,0,176.10,125.10,-0.12,0.36,0.55,0.00,0.36,0.55,100,3,1,27.46
200.23,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,27.37
200.43,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,26.77
200.63,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.31
200.84,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.22
201.04,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.22
201.24,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.22
201.44,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.22
201.64,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.37
201.84,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,26.37
202.04,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,29.34
202.24,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,32.47
202.45,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,32.84
202.65,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,30.91
202.85,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,28.03
203.05,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.91
203.25,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,21.85
203.45,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.74
203.65,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.73
203.85,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.74
204.06,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.74
204.26,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.74
204.46,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.74
204.66,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.73
204.86,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,21.03
205.06,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.82
205.26,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,28.67
205.47,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,31.65
205.67,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,30.54
205.87,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,27.44
206.07,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,24.61
206.27,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,21.78
206.47,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,19.43
206.67,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,17.06
206.88,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,16.08
207.08,0,176.10,125.10,-0.12,0.00,0.00,0.00,0.00,0.00,100,3,1,16.77
207.28,0,176.97,125.10,-0.03,0.00,0.00,0.87,0.00,0.00,100,3,1,15.33
207.49,0,179.65,124.41,0.50,53.45,7.18,2.81,53.45,-7.18,100,3,1,12.62
207.69,0,183.04,122.37,1.38,25.09,1.09,4.06,25.09,-1.09,100,3,1,11.46
207.89,0,185.99,120.02,0.50,17.82,3.36,3.88,17.82,3.36,100,3,1,13.65
208.09,0,187.97,116.15,0.50,2.00,0.27,4.34,2.00,-0.27,100,3,1,19.41
208.29,0,187.67,112.83,0.50,0.73,0.73,3.34,0.73,0.73,100,3,1,23.13
208.50,0,187.79,109.17,0.50,21.00,0.55,3.66,21.00,-0.55,100,3,1,24.87
208.70,0,187.57,104.88,0.50,18.73,2.09,4.29,18.73,2.09,100,3,1,26.51
208.90,0,186.31,100.56,0.50,2.82,0.27,4.50,2.82,0.27,100,3,1,27.74
209.10,0,184.50,96.43,0.50,20.91,0.73,4.51,20.91,0.73,100,3,1,28.66
209.30,0,181.39,95.10,0.50,35.73,2.82,3.38,35.73,2.82,100,3,1,26.91
209.50,1,178.78,96.27,0.88,0.73,0.18,2.88,0.73,0.18,100,3,0,25.34
209.71,0,177.29,99.80,0.50,12.45,0.64,3.85,12.45,0.64,100,3,1,19.91
209.91,0,174.81,101.95,0.50,23.00,5.64,3.29,23.00,5.64,100,3,1,15.93
210.11,0,171.72,102.84,0.50,3.27,1.55,3.21,3.27,1.55,100,3,1,14.21
210.31,1,168.36,104.75,0.50,1.73,2.45,3.87,1.73,2.45,100,3,1,15.38
210.52,1,165.08,105.02,0.53,0.64,0.73,3.29,0.64,-0.73,100,3,1,19.24
210.72,1,161.88,104.75,1.32,1.55,1.45,3.31,1.55,-1.45,100,3,1,23.21
210.92,0,158.69,104.07,2.12,1.91,3.73,3.36,1.91,-3.73,100,3,1,27.80
211.12,0,155.74,101.33,2.88,0.18,0.00,4.10,0.18,0.00,100,3,1,31.92
211.32,0,152.85,97.95,3.62,1.64,4.55,4.51,1.64,-4.55,100,3,1,27.84
211.52,0,151.53,94.62,4.50,4.09,2.18,3.68,4.09,-2.18,100,3,1,23.36
211.73,0,151.28,91.37,4.50,5.82,0.09,3.26,5.82,0.09,100,3,1,21.51
211.93,0,151.07,89.01,4.50,7.55,2.09,2.37,7.55,2.09,100,3,1,22.32
212.13,0,151.02,88.51,4.50,0.55,0.18,0.50,0.55,0.18,100,3,1,20.71
212.33,0,151.31,89.62,4.50,0.00,0.00,1.14,0.00,0.00,100,3,1,13.22
212.53,0,151.98,92.36,4.50,0.00,0.00,2.82,0.00,0.00,100,3,1,6.57
212.73,0,152.68,95.44,4.50,6.73,1.09,3.16,6.73,-1.09,100,3,1,3.57
212.93,0,153.14,98.60,4.18,1.82,0.36,3.21,1.82,0.36,100,3,0,4.06
213.14,0,152.66,100.77,3.56,14.55,0.36,2.31,14.55,0.36,100,3,1,5.56
213.34,0,150.00,101.15,4.02,9.64,0.36,2.73,9.64,-0.36,100,3,1,7.99
213.54,0,146.72,101.33,4.50,1.18,0.82,3.32,1.18,0.82,100,3,1,11.05
213.74,0,143.65,100.42,4.86,3.27,5.36,3.22,3.27,5.36,100,3,1,13.72
213.94,0,140.68,99.21,5.50,1.00,0.82,3.27,1.00,0.82,100,3,1,16.25
214.14,0,137.74,97.91,4.50,0.09,0.45,3.37,0.09,-0.45,100,3,1,14.22
214.35,0,135.05,96.70,4.50,1.09,2.72,2.94,1.09,2.72,100,3,1,12.84
214.55,0,132.85,94.36,4.50,0.64,3.17,3.21,0.64,-3.17,100,3,1,13.25
214.75,0,131.19,90.58,4.50,19.18,7.39,4.14,19.18,-7.39,100,3,1,14.57
214.95,1,130.81,88.35,5.50,14.27,2.00,2.47,14.27,2.00,100,3,1,15.71
215.15,0,130.79,87.91,5.50,1.73,0.04,0.44,1.73,-0.04,100,3,1,17.35
215.35,0,131.35,87.69,4.50,0.36,10.16,1.17,0.36,10.16,100,3,1,18.72
215.56,0,131.20,86.26,4.56,0.00,4.04,1.45,0.00,-4.04,100,3,1,18.99
215.76,0,130.66,84.86,4.50,3.27,1.19,1.49,3.27,-1.19,100,3,1,17.92
215.96,0,130.43,84.63,4.50,8.00,2.09,0.34,8.00,-2.09,100,3,1,18.17
216.17,0,130.39,84.59,4.50,8.64,1.82,0.06,8.64,1.82,100,3,1,18.60
216.37,0,130.38,84.58,4.50,10.91,2.55,0.01,10.91,2.55,100,3,1,18.94
216.57,0,130.50,84.70,4.50,3.82,7.49,0.17,3.82,7.49,100,3,1,20.82
216.77,0,129.56,83.39,4.50,6.27,8.86,1.61,6.27,-8.86,100,3,1,21.15
216.97,0,128.84,82.44,4.50,2.27,1.56,1.20,2.27,-1.56,100,3,1,21.17
217.17,0,125.85,81.67,4.50,49.09,3.18,3.08,49.09,-3.18,100,3,1,19.38
217.38,0,122.73,82.37,4.50,4.18,1.09,3.20,4.18,-1.09,100,3,1,16.76
217.58,0,119.54,82.72,4.50,9.73,0.55,3.21,9.73,-0.55,100,3,1,14.61
217.79,0,116.16,84.05,4.50,14.18,2.64,3.63,14.18,2.64,100,3,1,12.00
217.99,0,116.43,84.92,4.50,8.45,2.91,0.91,8.45,2.91,25,3,1,11.38
218.19,0,117.18,85.47,4.50,2.64,6.18,0.93,2.64,6.18,25,3,1,11.26
218.39,0,118.37,88.25,4.50,45.64,5.84,3.02,45.64,-5.84,25,3,1,9.99
218.59,0,118.20,91.67,4.50,28.45,4.37,3.42,28.45,-4.37,25,3,1,8.25
218.80,0,116.66,94.58,4.50,1.09,1.09,3.30,1.09,1.09,4,3,1,6.65
219.00,0,115.58,97.93,4.50,7.45,1.55,3.52,7.45,-1.55,4,3,1,6.95
219.20,0,112.68,99.98,4.50,48.00,9.00,3.55,48.00,-9.00,4,3,1,7.37
219.40,0,110.49,100.95,4.50,76.00,0.91,2.40,76.00,-0.91,4,3,1,8.22
